,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
121,Arthur Shawcross,United,14,14,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 14.mw-parser-output .sfrac{white-space:nowrap}.mw-parser-output .sfrac.tion,.mw-parser-output .sfrac .tion{display:inline-block;vertical-align:-0.5em;font-size:85%;text-align:center}.mw-parser-output .sfrac .num,.mw-parser-output .sfrac .den{display:block;line-height:1em;margin:0 0.1em}.mw-parser-output .sfrac .den{border-top:1px solid}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}1/2 years, he began killing again a year later, targeting prostitutes. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",1972,1989,Genesee River Killer
122,Naceur Damergi,Tunisia,14,14,Raped and killed minors in the Nabeul region; executed by hanging in 1990.,1980,1988,
123,Marcelo Costa de Andrade,Brazil,14,14,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,1991,Unknown,
124,Sergey Shipilov,Russia,14,14,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.",1995,1999,Velsk Chikatilo
125,Dorángel Vargas,Venezuela,14,14,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.",1997,1999,The People Eater
126,Hua Ruizhuo,China,14,14,Was responsible for the murders of 14 prostitutes in Beijing's Chaoyang District.,1998,2001,
127,Denis Pischikov,Russia,14,14,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.",2002,2003,Shivering Creature
128,Abdufatto Zamanov,Russia,14,14,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.,2002,2004,
129,Jeong Nam-gyu,South,14,14,"Kidnapped, raped and murdered people; committed suicide.",2004,2006,
130,Amir Qayyum,Pakistan,14,14,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.",2005,Unknown,The brick killer
131,Jake Bird,United,13,46,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.,1930,1947,
132,Cleveland Torso Murderer,United,13,40+,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",1934,1938,The Mad Butcher of Kingsbury Run
133,Kaspars Petrovs,Latvia,13,38+,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",2003,Unknown,
134,Peter Sutcliffe,United,13,33,"Killed at least 13 women between 30 October 1975 and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison. After his 1981 conviction police investigated 60 unsolved murders and attempted murders across Britain they thought Sutcliffe could be responsible for, but were able to eliminate him from 40. He has since also been linked by several investigators to the murder of Carol Wilkinson, for which an innocent man spent many years in prison for. Sutcliffe died in hospital on 13 November 2020 at age 74, after being diagnosed with COVID-19.",1975,1980,Yorkshire Ripper.
135,Fosaville Serial Killer,South,13,26,"Kidnapped, bound, and strangled at least 13 women in Fosaville, South Africa. He may also be responsible for the ""Riverman"" murders.",1999,2003,Riverman
136,Richard Ramirez,United,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"". Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",1984,1985,Night Stalker
137,Sleepy Hollow Killer,South,13,16+,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.",1990s,2007,
138,Francisco Antonio Laureana,Argentina,13,13+,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.",1974,1975,
139,Joseph James DeAngelo,United,13,13+,"Known as the ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 13 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him. In 2020, he pleaded guilty and was sentenced to life in prison without parole.",1979,1986,Golden State Killer
140,Tamara Samsonova,Russia,13,13+,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.",1995,2015,Granny Ripper
142,Herbert Mullin,United,13,13,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.",1972,1973,
143,Vladimir Storozhenko,Soviet,13,13,"Known as the ""Smolensky Strangler""; tortured and murdered women for sexual pleasure; four other innocent men were initially convicted for his crimes; executed 1982.",1978,1981,Smolensky Strangler
144,Johannes Mashiane,South,13,13,"Known as ""The Beast of Atteridgeville"", he was found guilty of 13 counts of murder and 12 counts of sodomy from 1982 to 1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.",1982,1989,The Beast of Atteridgeville
145,Vasiliy Kulik,Soviet,13,13,Known as the Irkutsk Monster; killed at least 13 victims from 1984 to 1986. Executed by firing squad in 1989.,1984,1986,
146,Nikolai Dudin,Soviet,13,13,"Known as the ""Grim Maniac""; killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.",1987,2002,Grim Maniac
147,Mukosi Freddy Mulaudzi,South,13,13,"Known as ""The Limpopo Serial Killer""; escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.",1990,2006,The Limpopo Serial Killer
148,Duan Guocheng,China,13,13,"Nicknamed ""The Red-dress killer"" or ""The Red-dress slasher"" because his victims were lone women walking alone either wearing red-dresses or another type of red. He sparked panic among women in Central China, with public officials warning them to stop wearing red during the years which he was at large.",1999,2001,The Red-dress killer
149,Nikolay Shubin,Russia,13,13,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.,2004,2006,
150,Thozamile Taki,South,13,13,"Known as the ""Sugar cane serial killer"", he murdered 13 women. Convicted in 2010.",2007,Unknown,Sugar cane serial killer
151,"""Rainbow Maniac""",Brazil,13,13,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.",2007,2008,
152,Adolf Seefeldt,Germany,12,100,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936.",1908,1935,Sandman
153,Charles Sobhraj,Thailand,12,30,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and sentenced to life imprisonment in Nepal in 2004. He was released from prison in Nepal in 2022.",1975,1976,The Bikini Killer
154,William Suff,United,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.",1986,1992,Riverside Prostitute Killer
155,Vladimir Romanov,Soviet,12,20,"Known as the ""Kaliningrad Maniac""; pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.",1991,2005,Kaliningrad Maniac
156,Maury Travis,United,12,17,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.,2000,2002,
157,Dennis Nilsen,United,12,16,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018.",1978,1983,
158,Kenneth Bianchi,United,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.",1977,1978,Hillside Stranglers
159,Enriqueta Martí,Spain,12,12+,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.  Recent investigations by writer Jordi Corominas and historian Elsa Plaza question the popular version of the black legend of Enriqueta Martí and warned about multiples misinformation, because Enriqueta ""was never formally charged with murder nor was any corpse of a child found in her home"".",c.1900,1912,was never formally charged with murder nor was any corpse of a child found in her home
