Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Robert Hansen,"Robert Christian Hansen(1939-02-15)February 15, 1939Estherville, Iowa, U.S.","August 21, 2014(2014-08-21) (aged 75)Anchorage, Alaska, U.S.",Unknown,Bob the BakerBob HansenThe Butcher Baker[1],Unknown,First degree murder (4 counts),Unknown,Unknown,17–37 killed31+ raped3+ victimless crimes1 attempted murder1 attempted rape,"December 22, 1971 – June 13, 1983",United States,Alaska,"October 27, 1983"
Sergei Dovzhenko,"Sergei Ivanovich Dovzhenko (1972-06-30) 30 June 1972 (age 52)Mariupol, Donetsk Oblast, Ukrainian SSR",Unknown,Unknown,Murchik,Unknown,Murder,Unknown,Unknown,17–19,1992–2002,Ukraine,Donetsk Oblast,"May 17, 2002"
Donato Bilancia,"(1951-07-10)10 July 1951Potenza, Italy","17 December 2020(2020-12-17) (aged 69)Padua, Italy",Unknown,The Liguria MonsterKiller on the trainsWalter,Unknown,12 April 2000,Unknown,Unknown,17,October 1997  –  April 1998 (6 months and 5 days),Italy,Unknown,6 May 1998
Irina Gaidamachuk,"Irina Viktorovna Gaidamachuk (1972-05-22) May 22, 1972 (age 52)Nyagan, Khanty-Mansi Autonomous Okrug, Soviet Union",Unknown,Unknown,Raskolnikov in a skirtSatan in a skirtShe-wolf of KrasnoufimskManiac-woman from Sverdlovsk,Unknown,Unknown,Unknown,Unknown,17,2002–2010,Russia,Unknown,2010
Chen Fuzhao,"Chen Fuzhaoc. 1974[1]Cangnan, Zhejiang, China","18 June 2004[2] (aged 29–30)Zhejiang, China",Unknown,Unknown,Unknown,Murder x17,Unknown,Unknown,17,May – June 2003,China,Zhejiang,1 July 2003
Randy Steven Kraft,"Randy Steven Kraft (1945-03-19) March 19, 1945 (age 79)Long Beach, California, U.S.",Unknown,Unknown,"The Freeway Killer,Southern California Strangler,The Scorecard Killer[3]",Unknown,Capital murderSodomyMutilation[1],Unknown,Unknown,16–67,1971–1983,United States,CaliforniaOregonMichigan[2],"May 14, 1983"
Juana Barraza,"(1957-12-27) 27 December 1957 (age 66)Epazoyucan, Hidalgo, Mexico",Unknown,Unknown,"Mataviejitas(Sp. Little Old Lady Killer"")La Dama del Silencio(Sp. The Lady of Silence)",Unknown,Unknown,Unknown,Unknown,16+,1998–2006,Mexico,Mexico City,25 January 2006
Michel Fourniret,"Michel Paul Fourniret(1942-04-04)4 April 1942Sedan, France","10 May 2021(2021-05-10) (aged 79)Paris, France",Unknown,Ogre of the Ardennes,Unknown,Murder (8 counts),Unknown,Unknown,8–12+,1987–2003,"France, Belgium",Unknown,26 June 2003
Sipho Agmatir Thwala,"Sipho Mandla Agmatir ThwalaKwaMashu, South Africa",Unknown,Unknown,"""The Phoenix Strangler""",Unknown,Unknown,Unknown,Unknown,16+,1996–1997,South Africa,Unknown,14 August 1997
Saeed Hanaei,Saeed Hanaei1962Imperial State of Iran,"April 8, 2002(2002-04-08) (aged 39–40)Mashhad Prison, Mashhad, Iran",Unknown,"Said, Spider Killer",Unknown,Unknown,Unknown,Unknown,16–19,2000–2001,Iran,Mashhad,July 2001
Maina Ramulu,"1976 (age 47–48)Arutla village, Telangana, India",Unknown,Unknown,Unknown,Unknown,"Murder (x16)
Larceny (x4)
Escaping police custody",Unknown,Unknown,16–18,Unknown,India,Telangana,"October 14, 2009
May 13, 2013
2018"
Jeffrey Dahmer,"(1960-05-21)May 21, 1960Milwaukee, Wisconsin, U.S.","November 28, 1994(1994-11-28) (aged 34)Portage, Wisconsin, U.S.",Unknown,"The Milwaukee Cannibal
The Milwaukee Monster",Unknown,"First-degree murder (16 counts)[n 1]
Disorderly conduct (2 counts)
Second-degree sexual assault and enticing a child for immoral purposes[1][n 2]",Unknown,Unknown,17,1978–1991,United States,OhioWisconsin,"July 22, 1991"
José Antonio Rodríguez Vega,"José Antonio Rodríguez Vega(1957-12-03)3 December 1957Santander, Spain","24 October 2002(2002-10-24) (aged 44)Topas, Spain",Unknown,The Old Lady Killer,Unknown,Unknown,Unknown,Unknown,16 known and confirmed,1987–1988,Spain,Cantabria,19 May 1988
Carroll Cole,"Carroll Edward Cole(1938-05-09)May 9, 1938Sioux City, Iowa, U.S.","December 6, 1985(1985-12-06) (aged 47)Nevada State Prison, Carson City, Nevada, U.S.",Unknown,Unknown,Unknown,First degree murder,Unknown,Unknown,"5 convicted, claimed 13–35",1947–1980,United States,"California, Nevada, Texas","November 30, 1980"
Elias Xitavhudzi,Elias XitavhudziUnion of South Africa,"(1960-11-14)14 November 1960Pretoria Central Prison, Pretoria, Union of South Africa",Unknown,Pangaman,Unknown,Unknown,Unknown,Unknown,16,1953–1959,South African Union,Unknown,Unknown
Charles Ray Hatcher,"(1929-07-16)July 16, 1929Mound City, Missouri, U.S.","December 7, 1984(1984-12-07) (aged 55)Missouri State Penitentiary, Jefferson City, Missouri, U.S.",Unknown,Albert Aire[1]Richard ClarkRichard Mark ClarkRichard Martin ClarkRichard Lee GradyRichard HarrisCarl L. KaleboughEarl L. KaleboughDoris MullinsHobart PraterAlbert Ralph PriceRichard Lee PriceRonald SpringerCharles Marvin TidwellDoris Mullins TravisDwayne Lee Wilfong,Unknown,Capital murder (2 counts),Unknown,Unknown,"5 confirmed, 16 confessed",1969–1982,United States,"Missouri, California, Illinois","July 30, 1982"
Yuri Ivanov,"Yuri Anufrievich Ivanov1956 (1956)Ust-Kamenogorsk, Kazakh SSR, Soviet Union","1989 (aged 32–33)Kazakh SSR, Soviet Union",Unknown,"""The Ust-Kamenogorsk Maniac""""The Silk Factory Killer""",Unknown,Murder,Unknown,Unknown,16,1974–1987,Soviet Union,East Kazakhstan,1987
Robert Lee Yates,"Robert Lee Yates Jr. (1952-05-27) May 27, 1952 (age 72)Oak Harbor, Washington, U.S.",Unknown,Unknown,The Grocery Bag KillerSpokane Washington's Serial KillerThe Spokane Serial Killer,Unknown,Aggravated first degree murder (2 counts)First degree murder (13 counts)Attempted first degree murder,Unknown,Unknown,16+,1975–1998,United States,Washington,"April 18, 2000"
Farid Baghlani,"1968Abadan, Iran","13 November 2010(2010-11-13) (aged 41–42)Karun Prison, Ahvaz, Iran",Unknown,"""The Cyclist Killer""",Unknown,Murder x16,Unknown,Unknown,16,2004–2008,Iran,Khuzestan,November 2008
Jimmy Maketta,Jimmy Maketta1964/5South Africa,Unknown,Unknown,Unknown,Unknown,Murder (x16)  Rape (x19),Unknown,Unknown,Unknown,April – December 2005,South Africa,Cape Town,Unknown
Jack Mogale,Madumetsa Jack MogaleSeptember 1968South Africa,Unknown,Unknown,West-End Serial Killer,Unknown,"Murder, kidnapping, rape",Unknown,Unknown,16,2008–2009,South Africa,Unknown,2009
Donald Henry Gaskins,"Donald Henry Parrott Jr.March 13, 1933Florence County, South Carolina, U.S.","September 6, 1991(1991-09-06) (aged 58)Broad River Correctional Institution, Columbia, South Carolina, U.S.",Unknown,The Meanest Man,Unknown,Murder (10 counts)RobberyAssault,Unknown,Unknown,15 confirmed (110 claimed),1953–1982,United States,South Carolina,"November 14, 1975"
Ravinder Kumar,"1991 (age 32–33)Badaun, Uttar Pradesh",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15–30,Unknown,India,"Delhi, Haryana, Uttar Pradesh",19 July 2015
Atlanta Ripper,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15–21,Unknown,United States,Unknown,Unknown
Ángel Maturino Reséndiz,"Ángel Leoncio Reyes Reséndiz(1959-08-01)August 1, 1959Izúcar de Matamoros, Puebla, Mexico","June 27, 2006(2006-06-27) (aged 46)Huntsville Unit, Huntsville, Texas, U.S.",Execution by lethal injection,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chester Turner,"Chester Dewayne Turner (1966-11-05) November 5, 1966 (age 58)Warren, Arkansas, U.S.",Unknown,Unknown,"""The Southside Slayer""",Unknown,Unknown,Unknown,Unknown,15–16+,1987–1998,United States,California (known)Utah (alleged),"September 30, 2003"
Alexander Labutkin,"Alexander Alekseevich Labutkin1910St. Petersburg, Russian Empire",1935USSR,Unknown,"""The One-Armed Bandit""""The Shooter""",Unknown,Murder,Unknown,Unknown,15,1933–1935,Soviet Union,Leningrad,March–April 1935
Florencio Fernández,"Florencio Roque Fernández1935Monteros, Tucumán Province, Argentina",1968 (aged 32–33),Unknown,"""The Argentine Vampire""""The Window Vampire""",Unknown,Murder,Unknown,Unknown,15,1950s–1960,Argentina,Unknown,Unknown
Elifasi Msomi,Elifasi Msomi1910Union of South Africa,"10 February 1956 (aged 45/46)Pretoria Central Prison, Pretoria, Transvaal, Union of South Africa",Unknown,The Axe KillerTokoloshe Killer,Unknown,Unknown,Unknown,Unknown,15,1953–1955,Union of South Africa,Unknown,1955
Maurizio Minghella,"(1958-07-16) 16 July 1958 (age 66)Genoa, Italy",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15,1978–2001,Italy,Unknown,"March 7, 2001"
Bai Baoshan,"6 November 1958Shijingshan District, Beijing, China","April 1998 (aged 39)Xinjiang Uyghur Autonomous Region, China",Unknown,Unknown,Unknown,"Murder, robbery, assault",Unknown,Unknown,15–17,1996 – 1997 (also confessed to two earlier murders),China,Unknown,5 September 1997
Lee Choon-jae,"January 31, 1963 (1963-01-31) (age 61)Hwaseong, Gyeonggi Province, South Korea",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,"At least 45 victims (see § List of known victims)
1 convicted murder, 14 confessed murdersOver 30 confessed and attempted rapes","February 8, 1986 – January 13, 1994",Unknown,Unknown,"January 18, 1994; 30 years ago (1994-01-18)"
Carl Eugene Watts,"(1953-11-07)November 7, 1953Killeen, Texas, U.S.","September 21, 2007(2007-09-21) (aged 53)Jackson, Michigan, U.S.",Unknown,CoralThe Sunday Morning Slasher,Unknown,Murder,Unknown,Unknown,14–100+,"1974 – May 23, 1982",United States,MichiganTexas,"May 23, 1982"
Belle Gunness,"Bella Paulsdatter[1] orBrynhild Paulsdatter Størset[2]November 11, 1859Selbu, Sør-Trøndelag, Norway","April 28, 1908(1908-04-28) (aged 48) (unverified)La Porte, Indiana, U.S.",Unknown,Unknown,Monetary gain,Unknown,Unknown,Unknown,14+,1884–1908,Unknown,"Illinois, Indiana",N/A
Philipp Tyurin,"Philipp Petrovich Tyurin1910Sumerki, Ryazan Governorate, Russian Empire","1947 (aged 36–37)Leningrad, RSFSR",Unknown,"""The Leningrad Maniac""""The Hellraiser""""Philipp the Bloody""",Unknown,Murder,Unknown,Unknown,14–29,1945–1946,Soviet Union,Leningrad,27 January 1947
Zdzisław Marchwicki,"(1927-10-18)18 October 1927Dąbrowa Górnicza, Poland","26 April 1977(1977-04-26) (aged 49)Katowice, Poland",Unknown,"""The Zagłębie Vampire""",Unknown,Murder,Unknown,Unknown,14,1964–1970,Poland,Unknown,1972
Julio Pérez Silva,"Julio Segundo Pérez Silva (1963-07-15) July 15, 1963 (age 61)Puchuncaví, Valparaíso, Chile",Unknown,Unknown,The Psychopath of Alto Hospicio,Unknown,Murder,Unknown,Unknown,14–19,1998–2001,Chile,Unknown,"October 4, 2001"
Monster of Florence,Unknown,Unknown,Unknown,"Il Mostro (The Monster), The Surgeon of Death, Il Mostro di Firenze, The Monster of Florence",Unknown,Unknown,Unknown,Unknown,16,21 August 1968 – 8 September 1985,Italy,Unknown,Unknown
Joachim Kroll,"(1933-04-17)17 April 1933Hindenburg, Germany","1 July 1991(1991-07-01) (aged 58)Rheinbach, Germany",Unknown,'Ruhr Cannibal''Duisburg Man-Eater',Unknown,"Murder, attempted murder",Unknown,Unknown,8+ (14 confessed),Unknown,West Germany,Unknown,Unknown
Arthur Shawcross,"Arthur John Shawcross(1945-06-06)June 6, 1945Kittery, Maine, U.S.","November 10, 2008(2008-11-10) (aged 63)Albany Medical Center, Sullivan Correctional Facility, Fallsburg, New York, U.S.",Unknown,The Genesee River KillerThe Monster of the RiversThe Rochester Strangler,Unknown,ArsonBurglaryManslaughterSecond degree murder,Unknown,Unknown,14,"May 7, 1972 – December 28, 1989",United States,New York,"January 5, 1990"
Naceur Damergi,"1944Tunis, French Tunisia","17 November 1990(1990-11-17) (aged 45–46)Tunis, Tunisia",Unknown,Slaughterer of Nabeul,Unknown,Murder and Rape,Unknown,Unknown,14,1987–1988,Tunisia,Unknown,27 November 1989
Muthukutty Chandran,"Muthukutty Chandran15 December 1950Karinthala, Nileswaram, Kerala, India","6 July 1991 (aged 40)Kannur, Kerala, India",Unknown,Ripper,Unknown,1987MurderRapeTheft,Unknown,Unknown,14,1985–1986,India,"Kerala, Karnataka",26 February 1986
Marcelo Costa de Andrade,"(1967-01-02) January 2, 1967 (age 57)Rio de Janeiro, United States of Brazil",Unknown,Unknown,"""The Vampire of Niterói""",Unknown,Murder,Unknown,Unknown,14 known and confirmed,April – December 1991,Brazil,Rio de Janeiro,"December 18, 1991"
Sergey Shipilov,"Sergey Aleksandrovich Shipilov (1959-05-17) May 17, 1959 (age 65)Arkhangelsk, Arkhangelsk Oblast, RSFSR",Unknown,Unknown,"""The Velsk Chikatilo""""The Velsk Maniac""""The Arkhangelsk Chikatilo""",Unknown,Murder,Unknown,Unknown,14,1995–1999,Russia,Arkhangelsk,"October 10, 1999"
Dorángel Vargas,"José Dorángel Vargas Gómez (1957-05-14) May 14, 1957 (age 67)Caño Zancudo,Mérida,Venezuela",Unknown,Unknown,El comegente,Unknown,Unknown,Unknown,Unknown,"14 known, suspect of many more murders",1995–1999/2016,Venezuela,Unknown,February 1999
Hua Ruizhuo,"1973Shuangcheng City, Heilongjiang, China (present-day Harbin, China)","January 31, 2002(2002-01-31) (aged 28–29)Beijing, China",Unknown,Unknown,Unknown,Murder x14,Unknown,Unknown,14,1998–2001,China,Beijing,"July 26, 2001"
Denis Pischikov,"Denis Sergeevich Pischikov (1983-04-12) April 12, 1983 (age 41)Bulanash, Sverdlovsk Oblast, RSFSR",Unknown,Unknown,"""The Shivering Creature""""Urals Raskolnikov""[1]",Unknown,Murder,Unknown,Unknown,14,2002–2003,Russia,"Moscow, Vladimir","April 5, 2003"
Abdufatto Zamanov,"Abdufatto Tashpulatovich Zamanov (1973-04-07) April 7, 1973 (age 51)Somoniyon, Central District, Tajik SSR",Unknown,Unknown,"""The Krasnoyarsk Chikatilo""",Unknown,Murder,Unknown,Unknown,14,2002–2004,Russia,Krasnoyarsk,"December 9, 2004"
Jeong Nam-gyu,"(1969-04-17)April 17, 1969Jangsu County, South Korea","November 22, 2009(2009-11-22) (aged 40)Seoul Detention Center, South Korea",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,14,2004–2006,South Korea,Unknown,Unknown
Amir Qayyum,Amir Qayyum1981 (age 42–43)Pakistan,Unknown,Unknown,The Brick Killer,Unknown,Murder,Unknown,Unknown,14,June – July 2005,Pakistan,Lahore,18 July 2005
Denis Kazungu,c. 1989 (age 34–35),Unknown,Unknown,Unknown,Unknown,Murder x14,Unknown,Unknown,14,Unknown,Rwanda,"Gashikiri, Kicukiro District, Kigali",5 September 2023
Jake Bird,"December 14, 1901[1]Louisiana, U.S.[1]","July 15, 1949(1949-07-15) (aged 47)Washington State Penitentiary, Walla Walla, Washington, U.S.",Unknown,The Tacoma Ax-Killer,Unknown,First degree murder (2 counts),Unknown,Unknown,"13 confirmed, up to 46 suspected",1930–1947,United States,Various,"October 30, 1947"
Cleveland Torso Murderer,Unknown,Unknown,Unknown,The Mad Butcher of Kingsbury Run,Unknown,Unknown,Unknown,Unknown,13–20+,"September 5, 1934 – August 16, 1938",United States,"Ohio, possibly Pennsylvania and California",Never apprehended
Kaspars Petrovs,"1978 (age 45–46)Grobiņa, Latvia",Unknown,Unknown,Unknown,Unknown,12 May 2005,Unknown,Unknown,"13, possibly 38",2000–2003,Latvia,Unknown,February 2003
Peter Sutcliffe,"Peter William Sutcliffe(1946-06-02)2 June 1946Bingley, West Riding of Yorkshire, England","13 November 2020(2020-11-13) (aged 74)Brasside, County Durham, England",Unknown,"Peter Coonan
Yorkshire Ripper",Unknown,Unknown,Unknown,Unknown,"22+ (13 confirmed murdered, 7 confirmed injured, 2 suspected to be injured, at least 1 other officially suspected murder)",1975–1980 (confirmed),United Kingdom,Unknown,2 January 1981
Fosaville Serial Killer,Unknown,Unknown,Unknown,Newlands serial killerDurban's Killing Fields,Unknown,Unknown,Unknown,Unknown,13,Unknown,South Africa,Unknown,N/A
William Suff,"Bill Lee Suff (1950-08-20) August 20, 1950 (age 74)Torrance, California, U.S.",Unknown,Unknown,William Lester SuffThe Riverside Prostitute KillerThe Lake Elsinore Killer,Unknown,Attempted murderMurder,Unknown,Unknown,"14 known, suspected of many more",1974–1992,United States,"Texas, California","January 9, 1992"
Richard Ramirez,"Ricardo Leyva Muñoz Ramirez(1960-02-29)February 29, 1960[2]El Paso, Texas, U.S.","June 7, 2013(2013-06-07) (aged 53)Greenbrae, California, U.S.",Unknown,The Night StalkerThe Walk-In KillerThe Valley Intruder,Unknown,"First-degree murder (12 counts)
Second-degree murder
Rape (11 counts)
First-degree burglary (14 counts)[1]",Unknown,Unknown,15+,"April 10, 1984 – August 24, 1985",United States,California,"August 31, 1985"
Sleepy Hollow Killer,Unknown,Unknown,Unknown,Sleepy Hollow Murderer,Unknown,Unknown,Unknown,Unknown,13–16+,1990s–2007,South Africa,"KwaZulu-Natal, possibly also Free State and Eastern Cape",Unknown
Francisco Antonio Laureana,"1954Corrientes, Argentina","February 27, 1975(1975-02-27) (aged 20–21)San Isidro, Argentina",Unknown,"""The Satyr of San Isidro""",Unknown,Unknown,Unknown,Unknown,13+,1974–1975,Argentina,Buenos Aires,Unknown
Joseph James DeAngelo,"Joseph James DeAngelo Jr. (1945-11-08) November 8, 1945 (age 79)Bath, New York, U.S.",Unknown,Unknown,Visalia RansackerEast Area RapistEast Side RapistEast Bay RapistCreek Bed KillerDiamond Knot KillerOriginal Night StalkerEARONSGolden State Killer[1][2],Unknown,"First-degree murder with special circumstances (13 counts)
Kidnapping (13 counts)",Unknown,Unknown,13+ murdered51+ raped120+ burgled,1974–1986,United States,California,"April 24, 2018"
Tamara Samsonova,"Tamara Mitrofanovna Samsonova (1947-04-25) April 25, 1947 (age 77)Uzhur, Krasnoyarsk Krai, RSFSR, Soviet Union",Unknown,Unknown,"""The Granny Ripper""""Baba Yaga""",Unknown,Murder,Unknown,Unknown,"Known:
Valentina Nikolaevna Ulanova
Sergei Potanin
Presumed:

Alexi Samsonova (husband)
""Volodya""",2000–2015,Russia,Unknown,27 July 2015 (2015-07-27)
Herbert Mullin,"Herbert William Mullin(1947-04-18)April 18, 1947Salinas, California, U.S.","August 18, 2022(2022-08-18) (aged 75)California Health Care Facility, Stockton, California, U.S.",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,13,"October 13, 1972 – February 13, 1973",United States,California,"February 13, 1973"
Vladimir Storozhenko,"Vladimir Viktorovich Storozhenko11 April 1953Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union","22 September 1982 (aged 29)Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union",Unknown,"""The Smolensk Strangler""[1]",Unknown,Murder with aggravating circumstances,Unknown,Unknown,13,1978–1981,Soviet Union,Smolensk,21 July 1981
Johannes Mashiane,Johannes MashianeSouth Africa,"October 1989Marabastad, Pretoria, South Africa",Unknown,The Beast of Atteridgeville,Unknown,Unknown,Unknown,Unknown,13,1982–1989,South Africa,Pretoria,Unknown
Vasiliy Kulik,"Vasiliy Sergeyevich Kulik(1956-01-17)17 January 1956Irkutsk, Irkutsk Oblast, RSFSR","26 June 1989(1989-06-26) (aged 33)Angarsk Colony, Irkutsk Oblast, RSFSR",Unknown,"""The Irkutsk Monster""""The Murder Doctor""""The Murderer""",Unknown,"Murder, rape, assault",Unknown,Unknown,13,1984–1986,Soviet Union,"Irkutsk, Kirovohrad","January 17, 1986"
Nikolai Dudin,"Nikolai Arkadievich Dudin (1973-12-22) 22 December 1973 (age 50)Mikhalkovo, Ivanovo Oblast, RSFSR",Unknown,Unknown,"""The Grim Maniac""""The Furmanov Chikatilo""",Unknown,Murder,Unknown,Unknown,13,1987–2002,"Soviet Union, later Russia",Ivanovo,17 July 2002
Mukosi Freddy Mulaudzi,"1962 (age 61–62)Maelula, Limpopo, South Africa",Unknown,Unknown,"""The Limpopo Serial Killer""",Unknown,Murder,Unknown,Unknown,13,1990–2006,South Africa,Limpopo,July 2006
Duan Guocheng,"1973 (age 50–51)Wuhan, Hubei, China",Unknown,Unknown,The Red-Dress KillerThe Red-Dress SlasherThe Wuhan Slasher,Unknown,Murder x13,Unknown,Unknown,13,1999–2001,China,Hubei,"August 15, 2001"
Nikolay Shubin,"Nikolay Pavlovich Shubin1956 (age 67–68)Tbilisi, Georgian SSR",Unknown,Unknown,"""The Cemetery Director""""Valre Bomzh""""The Chess Player""",Unknown,Murder,Unknown,Unknown,13,2004–2006,Russia,Lipetsk,October 2006
